Rating Column,Success Rate (%)
StREM Rank,73.17708333
StREM,73.17708333
AN-H AVG,72.65625
Barthag-Mom,72.65625
ANH Rank,72.65625
Mom Rank,72.65625
RPPF Rank,72.13541667
RPPF,72.13541667
RankAdjEM,71.61458333
AdjEM,71.61458333
AN Rank,71.35416667
AB6R,71.35416667
powerfilter,71.35416667
powerfilter rank,71.35416667
INDEX Rank,71.35416667
Barthag-AN,71.35416667
AdjOE,71.09375
Barthag-H,71.09375
DV1,71.09375
RankAdjOE,71.09375
Seed,71.09375
YEAR,71.09375
champfilter,70.83333333
champfilter rank,70.83333333
DV2,70.57291667
AdjDE,70.3125
RankAdjDE,70.3125
Barthag-N,69.53125
NonCon Rank,69.53125
StRT+,68.22916667
StRT+ Rank,68.22916667
StROE Rank,66.92708333
StRDE,66.92708333
StRDE Rank,66.92708333
StROE,66.92708333
RankOE,61.97916667
OE,61.97916667
DE,58.33333333
RankDE,58.33333333
RankAdjTempo,51.82291667
RankTempo,50.78125
Tempo,49.21875
AdjTempo,48.17708333
