Rating Column,Success Rate (%)
AN-H AVG,67.1957671957672
StREM,67.1957671957672
DV1,67.06349206349206
RPPF,66.7989417989418
Barthag-AN,66.66666666666666
AdjOE,66.26984126984127
AdjEM,66.005291005291
Barthag-H,65.87301587301587
Barthag-Mom,65.74074074074075
DV2,65.60846560846561
Barthag-N,64.81481481481481
StROE,63.35978835978836
OE,60.978835978835974
RankAdjTempo,52.116402116402114
RankTempo,51.455026455026456
Tempo,48.544973544973544
AdjTempo,47.883597883597886
DE,44.576719576719576
RankDE,44.576719576719576
YEAR,41.00529100529101
StRDE Rank,40.60846560846561
StRDE,40.60846560846561
RankOE,39.021164021164026
StRT+,38.095238095238095
StRT+ Rank,38.095238095238095
AdjDE,37.83068783068783
RankAdjDE,37.83068783068783
StROE Rank,36.64021164021164
NonCon Rank,35.18518518518518
Mom Rank,34.25925925925926
champfilter rank,33.99470899470899
RankAdjEM,33.99470899470899
champfilter,33.99470899470899
INDEX Rank,33.99470899470899
RankAdjOE,33.730158730158735
AB6R,33.730158730158735
powerfilter rank,33.730158730158735
powerfilter,33.730158730158735
AN Rank,33.33333333333333
RPPF Rank,33.2010582010582
ANH Rank,32.804232804232804
StREM Rank,32.804232804232804
