,Average Value,Min Value,Max Value,
StREM,0.427501924,0.289853424,1,
DV2,0.872268085,0.662316448,1,
DV1,0.880337983,0.691171867,1,
AN-H AVG,0.955933333,0.89005,1,
Barthag-AN,0.950475,0.859,1,
Barthag-H,0.961391667,0.9211,1,
Barthag-N,0.959958333,0.8986,1,
RPPF,0.947341425,0.855401103,1,
Barthag-Mom,0.951275,0.8811,1,
StRT+ Rank,8,1,18,
NonCon Rank,6.083333333,1,19,
StRDE,20.55272695,1,21.91069552,
StRT+,11.58333333,1,22.5,
RPPF Rank,4,1,23,
ANH Rank,4.583333333,1,24,
RankAdjEM,5,1,25,
StREM Rank,5.916666667,1,25,
powerfilter rank,4.666666667,1,26,
champfilter rank,4.75,1,27,
AN Rank,5.166666667,1,27,
Mom Rank,7,1,28,
StRDE Rank,17.25,1,30,x
AB6R,8.068055556,1,30.91666667,
powerfilter,8.61257626,1,34.73587626,
AdjEM,28.80695,19.1162,100,
champfilter,8.741401528,1,35.99146294,
RankAdjDE,18.08333333,1,44,x
RankAdjOE,9.75,1,57,x
AdjTempo,65.98503333,59.2665,100,
Tempo,67.63565,61.0806,100,
StROE Rank,13,1,73,x
RankDE,32.5,1,80,
RankOE,16,1,87,
AdjDE,92.06989167,1,95.9749,
DE,94.483425,1,99.8803,
OE,115.8984167,108.213,150,
AdjOE,120.8769167,111.355,150,
RankTempo,171.5833333,1,353,
RankAdjTempo,186.8333333,1,353,
StROE,989965.9271,817804.3007,2139883946,
